ID,Age,Income,Education,Marital_Status,Total_Spend,Total_Purchases,Total_Campaigns_Accepted,Recency,Cluster,Segment_Name
8601,44,80011.0,Graduation,Married,1395,21,0,3,0,Budget Conscious
503,39,20559.0,Master,Married,53,7,0,88,3,Deal Seekers
8430,67,21994.0,Graduation,Together,22,4,0,4,3,Deal Seekers
2139,49,7500.0,Master,Married,31,8,0,19,3,Deal Seekers
1371,48,79941.0,Graduation,Single,984,16,0,72,0,Budget Conscious
9909,28,7500.0,2n Cycle,Married,122,10,1,24,3,Deal Seekers
7286,56,41728.0,Graduation,Together,55,5,0,92,3,Deal Seekers
6566,70,72550.0,PhD,Married,1319,28,0,39,1,Affluent Loyalists
8614,67,65486.0,Graduation,Widow,507,17,0,29,2,Moderate Mainstream
4114,60,79143.0,Master,Married,1693,29,0,2,0,Budget Conscious
1331,47,35790.0,Graduation,Single,72,7,0,54,3,Deal Seekers
2225,47,82582.0,Graduation,Divorced,1617,21,3,54,0,Budget Conscious
9381,46,66373.0,Graduation,Married,606,23,0,57,1,Affluent Loyalists
6260,69,82384.0,Master,Together,1957,27,2,55,0,Budget Conscious
10383,58,70287.0,Graduation,Divorced,1093,21,1,30,0,Budget Conscious
7437,36,27938.0,Graduation,Single,29,6,0,31,3,Deal Seekers
8375,56,55954.0,PhD,Married,518,19,0,63,1,Affluent Loyalists
6853,42,75777.0,Master,Single,1438,21,3,12,0,Budget Conscious
3076,49,66653.0,Graduation,Together,612,22,0,18,1,Affluent Loyalists
1012,72,61823.0,Graduation,Single,884,24,0,26,1,Affluent Loyalists
6518,73,67680.0,PhD,Widow,606,19,0,8,1,Affluent Loyalists
4137,76,70666.0,Graduation,Together,1076,16,0,29,0,Budget Conscious
8082,53,25721.0,Graduation,Married,34,5,1,75,3,Deal Seekers
1386,57,32474.0,Graduation,Together,11,4,0,0,2,Moderate Mainstream
9369,45,88194.0,2n Cycle,Single,1274,32,3,19,0,Budget Conscious
4477,66,69096.0,Graduation,Together,653,18,0,4,1,Affluent Loyalists
1357,54,74854.0,Graduation,Together,1562,19,0,90,1,Affluent Loyalists
1402,70,66991.0,Master,Married,1253,21,0,1,0,Budget Conscious
6312,65,65031.0,Graduation,Married,863,30,0,29,1,Affluent Loyalists
8132,49,60631.0,PhD,Married,661,24,1,88,1,Affluent Loyalists
1050,72,28332.0,Graduation,Married,65,8,0,58,2,Moderate Mainstream
5846,47,40246.0,Graduation,Divorced,13,4,0,68,3,Deal Seekers
1859,52,75251.0,Master,Married,1890,19,1,34,0,Budget Conscious
7503,48,75825.0,Graduation,Single,2209,22,2,40,0,Budget Conscious
10401,48,26326.0,2n Cycle,Together,18,4,0,12,3,Deal Seekers
1618,59,56046.0,Graduation,Together,692,21,2,9,1,Affluent Loyalists
3332,39,29760.0,Graduation,Single,165,12,0,87,3,Deal Seekers
2261,55,26304.0,Graduation,Married,16,4,0,5,3,Deal Seekers
5346,51,23559.0,2n Cycle,Married,79,9,0,87,3,Deal Seekers
4119,61,38620.0,Master,Together,318,11,0,56,2,Moderate Mainstream
535,37,81361.0,Graduation,Divorced,778,27,0,18,0,Budget Conscious
5268,64,29440.0,Graduation,Married,56,7,0,95,2,Moderate Mainstream
273,54,36138.0,Master,Married,151,13,1,48,2,Moderate Mainstream
4452,67,50388.0,Graduation,Single,372,17,3,3,1,Affluent Loyalists
8504,51,79593.0,Graduation,Married,1366,19,1,70,0,Budget Conscious
771,57,54178.0,Graduation,Together,194,10,0,79,2,Moderate Mainstream
11178,52,42394.0,Master,Single,32,5,0,69,2,Moderate Mainstream
2230,54,23626.0,PhD,Married,43,10,0,84,2,Moderate Mainstream
7516,41,30096.0,Graduation,Married,45,6,0,30,3,Deal Seekers
7247,64,47916.0,Graduation,Widow,606,22,1,72,1,Affluent Loyalists
11100,52,51813.0,Graduation,Divorced,63,7,0,37,3,Deal Seekers
4646,73,78497.0,2n Cycle,Married,978,25,1,44,0,Budget Conscious
3037,41,50150.0,PhD,Married,410,16,0,32,2,Moderate Mainstream
1473,64,47823.0,2n Cycle,Single,72,7,0,0,3,Deal Seekers
1016,65,34554.0,PhD,Single,55,7,0,43,2,Moderate Mainstream
4518,45,85693.0,Graduation,Together,1169,27,0,59,1,Affluent Loyalists
9370,79,65846.0,PhD,Married,1120,16,0,68,0,Budget Conscious
8908,65,87195.0,Graduation,Married,1097,20,1,35,0,Budget Conscious
8373,45,24594.0,Basic,Together,29,5,0,94,3,Deal Seekers
7533,60,49096.0,Graduation,Married,187,13,0,15,2,Moderate Mainstream
2683,55,52413.0,Graduation,Married,910,26,0,56,1,Affluent Loyalists
3629,46,38557.0,Graduation,Single,145,9,0,17,3,Deal Seekers
10991,64,89058.0,Master,Married,850,14,0,18,0,Budget Conscious
5077,45,77298.0,Graduation,Together,969,24,0,46,0,Budget Conscious
7431,33,68126.0,PhD,Single,1820,17,2,40,0,Budget Conscious
3267,61,57288.0,Master,Together,608,20,1,27,1,Affluent Loyalists
999,33,86037.0,Graduation,Single,730,25,3,95,0,Budget Conscious
9215,44,43974.0,PhD,Married,551,21,0,19,1,Affluent Loyalists
2286,62,50785.0,Graduation,Single,114,8,0,27,2,Moderate Mainstream
1592,54,90765.0,Graduation,Married,1724,15,2,25,0,Budget Conscious
367,46,36550.0,2n Cycle,Married,577,20,0,74,1,Affluent Loyalists
5234,57,30753.0,2n Cycle,Together,81,7,0,85,3,Deal Seekers
9862,55,21918.0,Graduation,Together,33,7,0,37,3,Deal Seekers
9805,71,56129.0,Master,Together,660,22,0,65,1,Affluent Loyalists
6205,57,32557.0,Master,Single,80,9,1,13,2,Moderate Mainstream
8442,39,19510.0,Master,Married,30,6,0,63,3,Deal Seekers
7386,48,30992.0,Graduation,Divorced,43,5,0,83,3,Deal Seekers
7215,41,101970.0,Graduation,Single,1135,27,4,69,0,Budget Conscious
1491,59,71488.0,2n Cycle,Together,559,16,0,87,0,Budget Conscious
11071,40,79607.0,Graduation,Single,1923,16,1,37,0,Budget Conscious
3381,71,54348.0,Master,Married,90,8,0,51,2,Moderate Mainstream
11051,68,77376.0,PhD,Together,661,23,0,72,1,Affluent Loyalists
8026,72,62998.0,Graduation,Married,463,19,0,10,1,Affluent Loyalists
433,66,61331.0,Master,Alone,632,23,0,42,1,Affluent Loyalists
9597,55,73448.0,Graduation,Married,725,19,0,10,0,Budget Conscious
5290,60,41551.0,PhD,Married,279,16,0,51,2,Moderate Mainstream
1685,57,62981.0,PhD,Together,1482,23,1,21,0,Budget Conscious
5342,48,9548.0,Basic,Divorced,29,6,0,31,3,Deal Seekers
9579,65,33762.0,PhD,Married,106,9,0,61,2,Moderate Mainstream
7660,51,35860.0,PhD,Alone,49,6,2,37,2,Moderate Mainstream
1461,59,36921.0,PhD,Divorced,38,7,0,74,2,Moderate Mainstream
821,32,92859.0,Master,Single,2077,22,0,46,0,Budget Conscious
11084,48,65104.0,Master,Together,1053,17,1,4,1,Affluent Loyalists
8690,62,86111.0,Graduation,Married,1385,23,0,73,0,Budget Conscious
2937,50,68352.0,PhD,Single,871,25,0,47,1,Affluent Loyalists
9701,36,41883.0,Graduation,Together,312,12,0,13,3,Deal Seekers
9949,48,59809.0,Graduation,Married,877,15,0,36,1,Affluent Loyalists
10837,49,23957.0,Graduation,Married,68,6,1,47,3,Deal Seekers
3120,43,38547.0,Graduation,Together,22,4,0,49,3,Deal Seekers
5885,51,35688.0,2n Cycle,Married,211,16,0,94,3,Deal Seekers
4050,58,49605.0,Master,Married,127,8,0,65,2,Moderate Mainstream
3830,71,59354.0,Master,Married,459,16,0,59,2,Moderate Mainstream
7987,55,65747.0,Graduation,Married,460,19,1,96,1,Affluent Loyalists
7798,52,46344.0,2n Cycle,Together,429,17,0,28,1,Affluent Loyalists
92,36,34176.0,Graduation,Alone,89,11,0,12,3,Deal Seekers
7055,72,61010.0,PhD,Together,1021,26,0,57,1,Affluent Loyalists
10240,75,69372.0,Graduation,Together,1381,21,3,10,0,Budget Conscious
3025,66,49967.0,Graduation,Single,306,15,0,4,2,Moderate Mainstream
9283,46,60199.0,Graduation,Single,18,4,0,49,2,Moderate Mainstream
9970,47,55375.0,Graduation,Together,162,9,0,3,2,Moderate Mainstream
2730,69,80317.0,Graduation,Single,1231,18,0,64,0,Budget Conscious
2795,66,30523.0,Master,Single,13,4,0,0,2,Moderate Mainstream
9260,79,70356.0,PhD,Married,1706,27,0,20,1,Affluent Loyalists
8182,40,23228.0,Graduation,Married,121,11,0,91,3,Deal Seekers
10095,49,74165.0,PhD,Divorced,1293,20,0,9,0,Budget Conscious
4370,58,43482.0,Graduation,Together,88,9,0,83,2,Moderate Mainstream
10573,71,62551.0,Graduation,Divorced,421,18,1,27,2,Moderate Mainstream
3712,65,52332.0,Graduation,Divorced,259,12,1,63,2,Moderate Mainstream
6637,36,66951.0,Graduation,Single,1117,15,0,46,0,Budget Conscious
3152,67,26091.0,Graduation,Together,89,9,0,84,2,Moderate Mainstream
5610,59,33456.0,Graduation,Together,36,6,0,58,2,Moderate Mainstream
6460,42,28718.0,Graduation,Married,57,7,0,78,3,Deal Seekers
1349,54,50447.0,Graduation,Married,148,8,0,4,2,Moderate Mainstream
1880,65,53537.0,PhD,Together,93,8,0,17,2,Moderate Mainstream
641,57,52074.0,Graduation,Single,119,7,1,77,2,Moderate Mainstream
8717,49,80427.0,PhD,Married,1835,28,0,56,0,Budget Conscious
10314,76,83837.0,PhD,Married,1318,25,3,79,0,Budget Conscious
10854,54,38853.0,PhD,Married,45,7,0,90,2,Moderate Mainstream
10492,65,38285.0,Graduation,Together,10,4,0,96,2,Moderate Mainstream
6935,73,78497.0,2n Cycle,Married,978,25,1,44,0,Budget Conscious
7698,48,51650.0,PhD,Married,191,10,0,81,2,Moderate Mainstream
3559,36,16248.0,2n Cycle,Married,57,9,0,77,3,Deal Seekers
10562,78,66835.0,Master,Married,1033,24,0,21,0,Budget Conscious
10796,40,30477.0,Master,Married,66,6,0,16,3,Deal Seekers
2563,63,28249.0,Basic,Married,43,6,0,80,3,Deal Seekers
3518,41,25271.0,Graduation,Married,50,5,0,45,3,Deal Seekers
5823,54,32303.0,PhD,Single,39,7,0,63,2,Moderate Mainstream
3934,58,61286.0,Graduation,Married,608,18,0,34,1,Affluent Loyalists
6982,48,74068.0,Graduation,Married,1581,24,0,14,0,Budget Conscious
6431,60,45759.0,PhD,Married,68,7,0,13,2,Moderate Mainstream
9733,46,24882.0,Basic,Together,80,5,1,52,3,Deal Seekers
5602,35,66973.0,PhD,Together,1282,28,0,98,0,Budget Conscious
1324,36,38872.0,Graduation,Married,91,8,0,93,3,Deal Seekers
326,51,51148.0,Graduation,Married,315,16,0,38,1,Affluent Loyalists
7224,47,31353.0,Graduation,Married,31,6,0,24,3,Deal Seekers
6999,44,69661.0,Master,Married,834,23,0,80,0,Budget Conscious
9938,70,80067.0,Graduation,Married,1600,17,1,82,0,Budget Conscious
6422,70,86718.0,Graduation,Married,1270,17,0,20,0,Budget Conscious
3182,51,46854.0,PhD,Single,263,15,2,81,2,Moderate Mainstream
7300,72,69142.0,Graduation,Divorced,535,19,1,50,1,Affluent Loyalists
10424,56,75922.0,Graduation,Single,1295,18,0,60,0,Budget Conscious
8727,46,63693.0,Graduation,Divorced,1150,29,0,63,1,Affluent Loyalists
2798,47,102160.0,PhD,Together,1240,26,4,54,0,Budget Conscious
1030,59,40637.0,PhD,Single,38,6,0,72,2,Moderate Mainstream
624,40,18890.0,Master,Single,35,4,2,5,3,Deal Seekers
5176,36,29604.0,Graduation,Together,53,5,1,88,3,Deal Seekers
5552,61,48721.0,Master,Divorced,293,17,0,50,1,Affluent Loyalists
868,58,44794.0,Graduation,Married,65,6,0,99,2,Moderate Mainstream
380,70,64497.0,Graduation,Divorced,1804,29,2,17,1,Affluent Loyalists
2677,68,46097.0,Graduation,Together,241,15,0,11,2,Moderate Mainstream
6521,70,77972.0,Graduation,Together,1101,20,0,18,0,Budget Conscious
6927,56,44377.0,PhD,Married,264,19,0,70,1,Affluent Loyalists
2877,50,46014.0,Master,Together,541,26,0,21,1,Affluent Loyalists
0,39,70951.0,Graduation,Married,1198,17,0,66,0,Budget Conscious
1584,47,41443.0,Graduation,Married,482,20,0,79,1,Affluent Loyalists
7264,46,52195.0,2n Cycle,Single,17,4,0,2,3,Deal Seekers
6274,76,83790.0,Master,Married,1615,25,2,81,0,Budget Conscious
1377,70,44551.0,Master,Widow,285,12,0,24,2,Moderate Mainstream
454,44,69508.0,Graduation,Together,1135,28,0,48,1,Affluent Loyalists
1755,36,45204.0,2n Cycle,Together,114,7,0,93,3,Deal Seekers
2075,55,72460.0,Graduation,Married,1047,16,0,56,0,Budget Conscious
4785,54,77622.0,PhD,Together,714,22,0,3,1,Affluent Loyalists
9076,44,30732.0,PhD,Married,185,13,0,44,3,Deal Seekers
7079,62,63887.0,Graduation,Divorced,1245,32,0,38,1,Affluent Loyalists
4653,46,42011.0,Graduation,Together,189,12,0,46,3,Deal Seekers
7375,48,51369.0,Graduation,Together,576,16,0,84,1,Affluent Loyalists
709,72,51537.0,Graduation,Divorced,1103,18,0,27,1,Affluent Loyalists
460,52,79930.0,PhD,Married,1753,17,0,72,0,Budget Conscious
3726,38,34320.0,PhD,Together,17,4,0,66,3,Deal Seekers
6798,58,37070.0,Graduation,Single,433,23,1,30,1,Affluent Loyalists
5341,62,81975.0,2n Cycle,Divorced,1588,14,1,2,0,Budget Conscious
1606,53,38590.0,Graduation,Together,22,4,0,65,3,Deal Seekers
9617,73,15033.0,Graduation,Single,19,5,0,37,2,Moderate Mainstream
3233,59,62745.0,PhD,Married,1117,29,0,89,1,Affluent Loyalists
89,49,22212.0,2n Cycle,Married,69,8,0,49,3,Deal Seekers
2936,42,23661.0,Master,Together,23,5,0,46,3,Deal Seekers
9449,66,79761.0,PhD,Single,605,19,0,32,1,Affluent Loyalists
7297,51,7500.0,Graduation,Single,57,11,0,54,3,Deal Seekers
313,56,73455.0,Graduation,Widow,2088,22,1,98,0,Budget Conscious
9940,66,64961.0,Graduation,Together,1009,16,0,97,1,Affluent Loyalists
10735,53,22804.0,Graduation,Single,26,5,0,75,3,Deal Seekers
9529,34,73687.0,Graduation,Married,1627,22,2,8,0,Budget Conscious
6439,66,61074.0,Graduation,Married,1102,31,0,37,1,Affluent Loyalists
7411,60,31686.0,PhD,Married,17,6,0,31,2,Moderate Mainstream
2176,52,80134.0,Graduation,Married,1690,16,4,40,0,Budget Conscious
9265,71,75027.0,Graduation,Married,1390,21,0,74,1,Affluent Loyalists
8867,36,67546.0,PhD,Married,2126,20,0,90,0,Budget Conscious
8932,55,65176.0,Master,Together,1531,25,0,57,1,Affluent Loyalists
10236,49,31160.0,Master,Single,64,7,0,59,3,Deal Seekers
6340,39,29938.0,Graduation,Single,26,6,0,52,3,Deal Seekers
10089,50,102692.0,Graduation,Divorced,1112,29,5,5,0,Budget Conscious
2227,66,26490.0,2n Cycle,Together,210,11,0,92,3,Deal Seekers
10992,57,75702.0,Graduation,Together,1148,26,0,77,1,Affluent Loyalists
5304,50,30899.0,PhD,Single,33,6,0,35,3,Deal Seekers
309,63,63342.0,PhD,Together,1101,19,1,48,1,Affluent Loyalists
3406,60,45989.0,Graduation,Single,322,16,0,97,1,Affluent Loyalists
2661,60,18701.0,Graduation,Single,44,10,0,95,2,Moderate Mainstream
3153,67,40737.0,PhD,Single,17,4,0,24,2,Moderate Mainstream
10264,45,15287.0,Graduation,Divorced,31,6,2,60,3,Deal Seekers
1184,56,69674.0,PhD,Divorced,845,25,0,46,1,Affluent Loyalists
4200,54,44159.0,Master,Married,275,15,0,85,2,Moderate Mainstream
9396,46,37717.0,PhD,Married,25,4,0,31,3,Deal Seekers
2387,72,43776.0,Master,Together,275,17,1,9,1,Affluent Loyalists
6690,58,38179.0,Master,Married,90,11,0,30,2,Moderate Mainstream
1225,61,80124.0,Graduation,Married,1495,19,1,47,0,Budget Conscious
9703,54,38097.0,PhD,Married,184,11,2,70,3,Deal Seekers
291,54,72940.0,Graduation,Married,981,13,0,13,0,Budget Conscious
4557,54,22070.0,Graduation,Together,67,8,0,11,3,Deal Seekers
2379,71,69267.0,Graduation,Single,1635,14,1,31,0,Budget Conscious
5726,41,31788.0,Master,Single,60,10,0,15,2,Moderate Mainstream
3066,49,61905.0,PhD,Together,231,12,0,2,2,Moderate Mainstream
6336,64,29315.0,Graduation,Married,48,10,0,55,2,Moderate Mainstream
10967,61,33378.0,Graduation,Divorced,99,9,0,38,3,Deal Seekers
2304,61,66313.0,PhD,Together,770,23,0,86,1,Affluent Loyalists
3445,68,60714.0,Graduation,Single,957,23,1,56,1,Affluent Loyalists
7828,43,77882.0,Master,Together,818,12,0,29,0,Budget Conscious
3762,38,69867.0,PhD,Single,925,17,2,30,0,Budget Conscious
4391,56,63841.0,Master,Divorced,908,22,0,64,1,Affluent Loyalists
4669,43,24480.0,Basic,Married,102,10,0,46,3,Deal Seekers
10144,48,51369.0,Graduation,Together,576,16,0,84,1,Affluent Loyalists
8652,78,37760.0,Graduation,Together,317,13,0,20,2,Moderate Mainstream
1672,50,65640.0,PhD,Together,461,15,0,74,2,Moderate Mainstream
8962,49,44319.0,Master,Married,37,7,0,18,2,Moderate Mainstream
9974,50,30631.0,Graduation,Married,70,7,0,75,3,Deal Seekers
10983,72,75278.0,Graduation,Together,930,23,0,17,0,Budget Conscious
8148,68,50898.0,Master,Together,859,33,0,88,1,Affluent Loyalists
10102,58,79946.0,Graduation,Widow,1478,22,0,19,0,Budget Conscious
4697,75,35416.0,Master,Divorced,390,16,0,62,1,Affluent Loyalists
9262,40,32414.0,2n Cycle,Together,52,5,1,11,3,Deal Seekers
7254,55,38361.0,Graduation,Together,137,10,0,74,2,Moderate Mainstream
4543,44,82497.0,Graduation,Married,1919,19,1,32,0,Budget Conscious
4927,53,16626.0,Graduation,Together,68,9,0,76,3,Deal Seekers
10451,59,29672.0,Graduation,Together,25,4,0,6,3,Deal Seekers
2926,72,55951.0,Master,Together,1374,23,2,62,1,Affluent Loyalists
2874,36,35388.0,2n Cycle,Divorced,32,5,0,20,3,Deal Seekers
9738,38,42386.0,Master,Together,100,7,0,43,3,Deal Seekers
7119,42,68627.0,Graduation,Single,825,12,0,45,0,Budget Conscious
3924,59,57912.0,PhD,Divorced,916,28,1,34,1,Affluent Loyalists
5827,66,35246.0,Graduation,Divorced,62,11,0,53,2,Moderate Mainstream
5596,68,58821.0,2n Cycle,Together,728,21,0,44,1,Affluent Loyalists
10812,46,46377.0,PhD,Married,90,7,0,89,2,Moderate Mainstream
1717,36,39747.0,Graduation,Single,273,13,0,43,3,Deal Seekers
9491,40,23976.0,Graduation,Together,66,10,0,68,3,Deal Seekers
9274,63,80950.0,Master,Married,1213,23,1,44,0,Budget Conscious
6609,58,27038.0,Graduation,Widow,107,7,1,64,3,Deal Seekers
6963,77,77457.0,Graduation,Single,1157,18,1,85,0,Budget Conscious
4440,60,64100.0,Master,Married,546,18,1,93,1,Affluent Loyalists
1379,32,42670.0,Master,Together,241,11,0,12,3,Deal Seekers
10032,48,12571.0,Graduation,Divorced,53,11,0,86,3,Deal Seekers
2826,57,22574.0,Graduation,Married,37,7,0,28,2,Moderate Mainstream
6320,48,70893.0,Master,Single,1508,23,0,42,0,Budget Conscious
3050,58,54198.0,Graduation,Married,235,16,0,13,2,Moderate Mainstream
231,68,28839.0,Master,Together,32,7,0,86,2,Moderate Mainstream
2392,52,40321.0,Graduation,Married,102,8,0,59,3,Deal Seekers
9478,39,66503.0,Graduation,Single,401,15,0,30,3,Deal Seekers
113,73,30833.0,Graduation,Married,28,6,0,33,2,Moderate Mainstream
1802,53,64795.0,Graduation,Married,680,21,0,23,1,Affluent Loyalists
520,50,34421.0,Graduation,Married,30,4,0,81,3,Deal Seekers
8275,59,47025.0,PhD,Divorced,20,4,0,6,2,Moderate Mainstream
9750,63,64325.0,PhD,Divorced,1307,23,0,41,1,Affluent Loyalists
2607,71,40464.0,Graduation,Single,630,24,0,78,1,Affluent Loyalists
7214,67,62187.0,Graduation,Married,1283,18,0,49,0,Budget Conscious
5835,48,14849.0,PhD,Divorced,65,9,0,39,3,Deal Seekers
3896,40,27255.0,Graduation,Married,37,5,0,3,3,Deal Seekers
10350,74,54432.0,PhD,Married,38,5,0,37,2,Moderate Mainstream
7786,38,29999.0,PhD,Single,160,12,0,22,3,Deal Seekers
2861,41,24072.0,Graduation,Single,23,4,0,79,3,Deal Seekers
663,35,33996.0,PhD,Single,71,6,0,46,3,Deal Seekers
10675,68,66334.0,PhD,Married,1161,19,1,82,1,Affluent Loyalists
2521,53,35178.0,Master,Married,59,5,2,10,3,Deal Seekers
9592,41,22010.0,Graduation,Together,33,7,0,51,3,Deal Seekers
10151,64,62204.0,Graduation,Divorced,946,22,0,38,1,Affluent Loyalists
7381,56,75693.0,Graduation,Divorced,1442,22,4,10,0,Budget Conscious
4099,52,30675.0,Graduation,Married,62,5,0,14,3,Deal Seekers
9560,59,83003.0,Graduation,Together,1674,22,2,18,0,Budget Conscious
10172,36,68655.0,Graduation,Single,1538,21,0,95,0,Budget Conscious
11191,38,41411.0,Graduation,Divorced,139,8,0,11,3,Deal Seekers
9707,55,55212.0,PhD,Married,1182,20,2,65,1,Affluent Loyalists
6245,74,59292.0,PhD,Together,507,18,0,71,1,Affluent Loyalists
8234,51,27190.0,Basic,Together,18,4,2,13,3,Deal Seekers
1411,72,82623.0,Graduation,Divorced,940,16,0,58,0,Budget Conscious
8553,59,44300.0,Graduation,Married,42,6,0,65,2,Moderate Mainstream
1826,54,84835.0,Graduation,Divorced,1190,15,1,0,0,Budget Conscious
8842,53,30372.0,Graduation,Widow,44,8,0,33,3,Deal Seekers
11030,48,33181.0,Master,Married,16,4,1,90,3,Deal Seekers
2579,67,71113.0,Graduation,Married,835,26,0,95,1,Affluent Loyalists
175,38,71952.0,Graduation,Married,1443,22,2,93,0,Budget Conscious
9185,58,69759.0,PhD,Single,1029,18,1,38,0,Budget Conscious
11056,50,72099.0,Graduation,Married,1188,18,0,18,0,Budget Conscious
9365,48,60000.0,PhD,Single,1277,24,0,57,1,Affluent Loyalists
6201,46,38643.0,Graduation,Single,49,7,0,45,3,Deal Seekers
2061,69,50737.0,Graduation,Married,99,7,1,61,2,Moderate Mainstream
6184,55,68462.0,PhD,Married,1670,15,0,6,0,Budget Conscious
6142,81,65073.0,Master,Married,900,14,0,65,0,Budget Conscious
4107,76,46681.0,PhD,Together,425,16,0,52,2,Moderate Mainstream
7274,67,78618.0,Graduation,Married,2153,22,1,87,0,Budget Conscious
9336,55,62187.0,PhD,Widow,636,21,0,38,1,Affluent Loyalists
2958,46,28442.0,Graduation,Married,57,10,0,53,2,Moderate Mainstream
933,46,37717.0,PhD,Married,25,4,0,31,3,Deal Seekers
5837,57,51479.0,Graduation,Married,494,22,0,67,1,Affluent Loyalists
10704,55,54803.0,Graduation,Single,693,19,0,65,1,Affluent Loyalists
5125,64,79530.0,Graduation,Married,1348,26,0,64,0,Budget Conscious
4432,48,31615.0,Graduation,Divorced,51,7,0,82,3,Deal Seekers
5955,62,72025.0,Graduation,Together,1932,16,0,27,0,Budget Conscious
2928,49,52614.0,PhD,Single,990,16,0,63,1,Affluent Loyalists
5680,40,35684.0,2n Cycle,Married,30,5,0,66,3,Deal Seekers
10313,49,48178.0,Graduation,Married,254,16,0,69,1,Affluent Loyalists
2557,54,29548.0,Master,Single,29,5,1,52,3,Deal Seekers
1245,58,63810.0,Graduation,Single,1371,23,1,45,1,Affluent Loyalists
1519,52,38578.0,PhD,Single,73,9,1,2,2,Moderate Mainstream
10703,49,46098.0,Master,Single,120,11,0,86,3,Deal Seekers
1726,54,22585.0,Graduation,Single,81,5,2,23,3,Deal Seekers
4459,35,30279.0,Graduation,Single,37,5,0,13,3,Deal Seekers
1729,63,66426.0,PhD,Together,1377,20,0,14,1,Affluent Loyalists
1517,55,30822.0,Graduation,Single,51,5,0,92,3,Deal Seekers
2098,55,33581.0,PhD,Married,17,4,0,38,2,Moderate Mainstream
9543,39,19986.0,Graduation,Married,22,4,0,74,3,Deal Seekers
6878,70,27421.0,Graduation,Widow,324,14,0,14,3,Deal Seekers
3310,51,35688.0,2n Cycle,Married,211,16,0,94,3,Deal Seekers
2724,43,36143.0,Master,Single,19,4,0,33,2,Moderate Mainstream
948,53,10245.0,Graduation,Single,41,8,0,32,3,Deal Seekers
6720,56,43795.0,Master,Together,492,17,2,11,1,Affluent Loyalists
6202,64,63381.0,Graduation,Together,1005,26,0,78,1,Affluent Loyalists
2066,75,38823.0,Graduation,Together,114,7,0,56,2,Moderate Mainstream
9799,56,83664.0,PhD,Divorced,1173,19,0,57,1,Affluent Loyalists
8318,45,90300.0,Graduation,Together,1738,19,1,7,0,Budget Conscious
5642,45,62499.0,Master,Together,222,12,0,0,2,Moderate Mainstream
